eps,min_samples,n_clusters,noise_fraction,min_cluster,max_cluster,silhouette
0.1,5,95,0.112,4,3143,-0.29857929725442545
0.1,15,66,0.5803333333333334,11,214,0.4600065528115537
0.1,30,8,0.9181666666666667,33,96,0.8352321104001755
0.2,5,15,0.051333333333333335,5,5384,0.0008943034998891975
0.2,15,13,0.0975,4,5033,-0.2513987109395051
0.2,30,21,0.3025,9,2822,-0.06167681501721705
0.4,5,15,0.021166666666666667,5,5498,0.08352120539270481
0.4,15,3,0.050833333333333335,113,5457,0.6793895018162228
0.4,30,5,0.056666666666666664,32,5388,0.4003655947296354
0.8,5,6,0.007833333333333333,6,5593,0.21972711214782148
0.8,15,6,0.021666666666666667,23,5523,0.19125065897998514
0.8,30,3,0.04083333333333333,114,5502,0.6680599097704885
1.6,5,2,0.0025,117,5868,0.8039642273598784
1.6,15,2,0.004833333333333334,117,5854,0.8132209769444502
1.6,30,3,0.006166666666666667,117,5701,0.6558683909538188
