k,covariance,bic,aic,converged,iterations,seconds
1,full,60968.21359115258,60934.71601741153,True,2,0.012448599998606369
2,full,49141.4472845171,49067.75262228678,True,9,0.04375339999751304
3,full,47824.285869314626,47710.39411859505,True,15,0.14247660000182805
4,full,47682.06613277144,47527.97729356261,True,10,0.12241839999842341
5,full,46754.02522552094,46559.739297822845,True,35,0.31191109999781474
6,full,46676.17228212925,46441.689265941895,True,22,0.2409010000010312
7,full,45358.46675686198,45083.78665218536,True,49,0.39944009999817354
8,full,45282.125171472966,44967.24797830709,True,32,0.35571059999710997
1,diag,61024.536287686446,60997.738228693604,True,2,0.007426699998177355
2,diag,53154.740592825285,53094.444960091394,True,13,0.04163869999683811
3,diag,50341.31717090303,50247.52396442809,True,9,0.06057249999867054
4,diag,48987.70449543458,48860.41371521858,True,12,0.09452149999924586
5,diag,47918.29436062867,47757.506006671625,True,13,0.08027059999949415
6,diag,47908.74779899461,47714.46187129652,True,12,0.08891810000204714
7,diag,46784.81215121674,46557.028649777596,True,22,0.16259709999940242
8,diag,46485.98072407723,46224.69964889703,True,25,0.20209990000148537
