h,fold,mean_log_density,n_train,n_validation
0.1,1,-8.18774189174012,1500,1500
0.1,2,-4.9658647633639825,3000,1500
0.1,3,-6.448224869383727,4500,1500
0.2,1,-4.660195855649531,1500,1500
0.2,2,-3.9582411209135104,3000,1500
0.2,3,-4.363455824548912,4500,1500
0.4,1,-3.91691882225858,1500,1500
0.4,2,-3.828887167080017,3000,1500
0.4,3,-3.9454930904001957,4500,1500
0.8,1,-3.9488471596251897,1500,1500
0.8,2,-3.983522705303515,3000,1500
0.8,3,-4.045737401317041,4500,1500
1.6,1,-4.270831398596823,1500,1500
1.6,2,-4.337234539091899,3000,1500
1.6,3,-4.361713905398901,4500,1500
3.2,1,-4.89160101989435,1500,1500
3.2,2,-4.964142991602522,3000,1500
3.2,3,-4.966931261777995,4500,1500
